Url,Consumer_Key,Online_Engagement_Date,Campaign,Brand_Key
https://unmundodecervezas.com/disfrutalo/,4d3395dc30a481d9ff219dce5847d5b49118bf0108c14a08adcae6b7a53052fb,2022-12-28T22:48:30,Nativity Navidad,HEINEKEN|HEINEKEN_ORIGINAL
https://unmundodecervezas.com/disfrutalo/,3f3b025a2667fe05e1b3d54baf498926f047f263bcc1380201264f034c9cbaea,2022-12-31T14:19:46,Saludos de Año Nuevo,HEINEKEN|HEINEKEN_ORIGINAL
https://unmundodecervezas.com/disfrutalo/,c5f903bddc09f12082d1de70e1f7f91ef163e01feb5fd03a0351236d8e6d0660,2022-12-14T15:06:17,Nativity Navidad,HEINEKEN|HEINEKEN_ORIGINAL
https://iframe-heineken00-es.heineken.com/,55c9e83985743e46205d740ecb814e5244b2d1ee3a0af1777458eebe3d459075,2021-05-13T16:13:48,Huella digital,HEINEKEN_00
https://unmundodecervezas.com/disfrutalo/,c63209087db216561e5d620fc60606ec37d9fda030002ef4ddf4b2d92f9def21,2022-11-05T18:32:22,espeluznante referencia de prueba de Halloween,HEINEKEN|HEINEKEN_ORIGINAL
https://unmundodecervezas.com/disfrutalo/,1e243703a0c3e6b4338ed722bbe2b3a80846256d73da239e8dfd190b114ac36a,2022-11-07T18:29:04,espeluznante referencia de prueba de Halloween,HEINEKEN|HEINEKEN_ORIGINAL
https://unmundodecervezas.com/disfrutalo/,f060de893d4752cbc44f43e254f14d39dc27cdd74f1295fab1fc9e35d03d5d8e,2022-11-10T19:37:53,espeluznante referencia de prueba de Halloween,HEINEKEN|HEINEKEN_ORIGINAL
https://unmundodecervezas.com/disfrutalo/,ffd949c5652d83aac7e5ac00312ce1c8deaf10cd5101a6f8215654d9de60f258,2022-11-08T14:09:11,espeluznante referencia de prueba de Halloween,HEINEKEN|HEINEKEN_ORIGINAL
https://unmundodecervezas.com/disfrutalo/,8fc7c7e2b4a7349f68dbb7ca876f41b1363ef0d8a1684da0c9afd841e74f7802,2022-11-05T18:26:11,espeluznante referencia de prueba de Halloween,HEINEKEN|HEINEKEN_ORIGINAL
https://unmundodecervezas.com/disfrutalo/,6895eb224ca2c5f61cb46582135ca6a25a69b35250b397f9f4667ef62dc5605a,2022-12-31T11:27:14,Saludos de Año Nuevo,HEINEKEN|HEINEKEN_ORIGINAL
https://unmundodecervezas.com/disfrutalo/,86129a9fe55203d9b0f70f0d781ed5198812d3506def99554c77b2d6e4fc8b98,2022-10-30T12:19:13,espeluznante referencia de prueba de Halloween,HEINEKEN|HEINEKEN_ORIGINAL
https://hsportsbar.es/heineken-sports-bar/form?mode=1,6ef856155a24cedfc92faaeb0aba52f62afb9610f63bd70a212c7545622bbe61,2021-11-25T13:17:06,Huella digital,HEINEKEN_ORIGINAL
www.unknown.com,5c50c1b7ecba8173c76fa6e7a3d796cbc7bb7c701a5f29e917f3ddc98e29140e,2023-01-23T19:56:17,Huella digital,
https://hsportsbar.es/heineken-gana-con-sportsbar/form?mode=1,ce72282df177fc63ecbb6be86a58f0704efed81561c19f5cb05ba9c39266231f,2022-05-14T18:23:24,Muestreo en pub,HEINEKEN_ORIGINAL
https://unmundodecervezas.com/disfrutalo/,4823fe31cce18ef0b5436e1b506555cae09242a4dc1467057d142ff433889227,2022-12-06T21:05:28,Nativity Navidad,HEINEKEN|HEINEKEN_ORIGINAL
